gene	score
SLC39A4	2.18988835003166
ZNF543	2.1894346321452
BATF3	2.18942300427816
UBQLN1P	2.18856336244629
FKBP1A	2.18854015131758
LOC727963	2.1881689335163
TNFRSF10B	2.18794866553549
LOC100130714	2.18687204033913
SCAND3	2.18519847151682
ZNF720P1	2.18489902949426
RPL15P20	2.18471485481018
ADCK1	2.18457677241337
C13ORF38	2.18239599872307
CCDC89	2.18105824715817
LDHC	2.179895178458
SDCBP2	2.17743057146288
LOC729870	2.1764913744371
AGPAT4	2.17603943406534
BNIPL	2.17366277460721
RPL13AP7	2.1732472771337
LOC100131775	2.17321360458805
CPNE3	2.173000402333
SELT	2.17203661490444
FAM55C	2.17192467744384
MREG	2.16701508501663
CFB	2.16562189025812
ZNF687	2.16512533778244
OR9K2	2.16476153829428
RBM38	2.16400179114141
LOC100289058	2.16356192930616
LOC284067	2.16132512047599
SH3TC1	2.1612923068046
TRIM39	2.16104081260433
HOXD1	2.16092058107082
COX6CP2	2.15995985155265
SELO	2.15981809448302
RAD50	2.15980719189057
OR2AM1P	2.15816383892356
GNRH2	2.15805521314755
FAM5B	2.1554990060555
TESC	2.15529382124332
SCN4B	2.1546249012146
LOC100132402	2.15384929879552
LOC100131203	2.15223760938475
SLC25A36	2.15083462614833
LOC100287876	2.15082393262173
ZIC5	2.15064218028881
C12ORF36	2.15043912936576
RPL13AP17	2.14622716477153
NDRG1	2.14254641220031
RPS20	2.14071163528404
FDXP2	2.14032463241597
IRF2BP2	2.14029326785065
OSTC	2.13986482966083
QDPR	2.13952027424877
ABCD4	2.13908211620988
NET1	2.13885276865073
LOC730196	2.13857145032192
ZFP57	2.13814458659559
BRUNOL5	2.13768692192212
ZNF165	2.13625441615651
NAT14	2.13584001538376
COLEC11	2.13564330343604
RPL7AP67	2.13534321811938
GPS2	2.13508467812732
HLA-DQB1	2.13233233244396
OR7E160P	2.13205490291831
ST5	2.13203435910977
CRHR1	2.13052684689869
GPR17	2.13025048256102
HCP5P14	2.13016862806858
ZNF35	2.12981068237487
LOC100129195	2.12948365637007
TMEM206	2.12932022873264
CBX5	2.12750592065885
YARS	2.12689593120376
ZKSCAN4	2.1258100767367
ZNF215	2.12575939713182
TMED6	2.12483798085847
STBD1	2.1241405251582
CALCOCO2	2.12393855710613
BAT4	2.12380732431704
KIAA0495	2.12093944636491
LOC100287431	2.1200874816604
SNRPA	2.11775995421677
PSPN	2.11641661842586
HAPLN2	2.11556285106758
ARSA	2.11399830907621
RRP12	2.11245863163155
LOC389369	2.11098288028169
PRPF19	2.11054105002596
RPL13AP10	2.10878761426524
LOC728323	2.10721602113675
SART1	2.10600913978986
LOC647163	2.10487319468192
RPL13AP15	2.10410772233763
MDS2	2.10373028502868
C1ORF52	2.10075036282039
C17ORF98	2.10040439808115
STAG1	2.09903262616701
MCL1	2.09825735741713
C2ORF81	2.09796098302002
PLXNB2	2.09758838646457
F2R	2.09585344174489
RPL13P10	2.09523534459791
SNHG12	2.09513082269765
MAP2K1	2.09347104482806
DUSP12	2.09311139693346
LOC343981	2.09250628544002
EPB41L2	2.09208127473006
ARHGAP24	2.09136433578182
CDC23	2.09097801202811
FLJ40194	2.09030034408131
HSPA2	2.09012167501914
HIST1H2BK	2.0901028716303
SFPQ	2.08943582960053
LOC100289128	2.08940766518894
LOC100128703	2.08797347297446
TES	2.08735612544714
RPL7P21	2.08644092294026
LOC100288832	2.0864315931419
GAL3ST2	2.08465292253499
EPHX3	2.08439272854221
FZD7	2.08320506379546
PPP1R3B	2.08319579672515
NUDT7	2.08186320247669
ADAMDEC1	2.08165993690942
HCP5P13	2.08142905766149
LOC729974	2.08132750593184
C5ORF15	2.08066333317011
SLC17A3	2.07885075913636
UROC1	2.07793327798703
MYC	2.07769501915286
NAALADL2	2.07754845693472
LOC388553	2.07596659569317
ERI1	2.07583881076308
LOC100289269	2.07569281233653
KIAA1279	2.07562895193529
OR14J1	2.07478132309756
HHLA1	2.07349904480787
LDHA	2.07155033640156
C19ORF30	2.07074595874683
USP8	2.06975363182481
LOC100288076	2.06974462001431
GLB1L3	2.06831387552522
PSMD4	2.06771224900415
PTRH1	2.06729065870752
SYNCRIP	2.06597443424074
ARGFX	2.0656258318478
CREB3L3	2.06500968800289
OR56A4	2.06495614731067
SEMA4G	2.06337935336121
BRD4	2.06191406669191
TSPYL6	2.05924355908583
SLC2A5	2.05872354842249
C4ORF32	2.05862665882736
LOC100130731	2.05853859414423
SNRPG	2.05757093469252
EXT2	2.05620191267513
LOC100289537	2.05586025857708
ZNF750	2.05534385293384
3.8-1.5	2.0553351050182
NGLY1	2.05516892449766
PGGT1B	2.05430395353285
C8ORF46	2.05362354215927
NCRNA00171	2.05333596178918
STX7	2.05278741580735
LOC643810	2.0516748083058
C19ORF35	2.0498895207814
LOC100287675	2.04982032088176
LOC100287303	2.04872308500689
USO1	2.04865405030958
LOC442293	2.04826591194341
EFCAB7	2.04808488625625
IKBKAP	2.04762831011382
RCC1	2.04596069979248
MICC	2.04494059279391
RPL12P33	2.04476079463429
VPS16A	2.03994799767102
LOC100288190	2.03866971192619
C6ORF100	2.03861898787733
STXBP2	2.0381795990177
SGSM1	2.0374031813198
PAQR8	2.03717555254653
GP1BA	2.03545069381739
ATP5G3	2.03428459141148
LOC100288374	2.03322157266757
EDAR	2.03148551272994
HCG4P10	2.03033707347868
P2RY13	2.02956463302596
PPP1R3E	2.02914155024152
EPO	2.0286359866037
IPO11	2.02716369199452
RPL7AP7	2.02675091552432
LOC100133176	2.0263962037456
KLF17	2.02543234629336
CACNB2	2.02276479277321
SLC15A3	2.0226665736151
BMPR1B	2.02265020565234
NPNT	2.02153028790632
ZNF24	2.02137517088354
LOC100127917	2.02003014285848
JSRP1	2.01856699537473
CCNI2	2.0176182617949
RBM18	2.01598453906395
ATP2A3	2.01555677882981
LOC100130325	2.01528256066523
STK19	2.01341545793502
UBE2Q2	2.01304608908959
DIMT1L	2.01256471601125
LOC26010	2.01173944471845
LOC100287784	2.01150733378326
G3BP2	2.01130732509331
FOXA3	2.01116336864111
LOC100129138	2.01105143131927
VAMP1	2.01094751207847
LOC644094	2.01071577045919
TRAF3IP3	2.01035638503901
GPR61	2.0100211927512
LOC124199	2.00966230858561
